H;RR1;TN;HTN;TX;HTX;T;DD;FF;DXI;FXI;HXI;DXY;FXY;RAD;PMER;PMERMIN;HU;HUX;HUN
2/3/2015 1-0;0.0;21.9;1h0;22.1;1h35;21.9;225.0;6.4;None;11.3;1h15;225.0;6.4;0.0;1011.01;1h55;76.0;76.0;73.0
2/3/2015 1-0;0.0;21.9;1h0;22.1;1h35;21.9;225.0;6.4;None;11.3;1h15;225.0;6.4;0.0;1011.01;1h55;76.0;76.0;73.0
