     Done in : 0:05:55.404446 for 2020-08-31 20:00:01
         15406893 function calls (15404931 primitive calls) in 390.855 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2274    0.010    0.000    0.032    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:1066(_make_child_relpath)
3036/1518    0.009    0.000    0.009    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:3211(__getattribute__)
        5    0.009    0.002    0.009    0.002 {method 'connect' of '_mysql_connector.MySQL' objects}
    34534    0.007    0.000    0.107    0.000 /Users/nico/projects/climato/app/classes/data_loader/dl_weewx.py:90(getNextRow)
     2274    0.006    0.000    0.033    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:871(is_dir)
     3102    0.006    0.000    0.023    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:380(with_segments)
     3857    0.006    0.000    0.009    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:358(__init__)
     2274    0.005    0.000    0.299    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:234(_select_from)
    34603    0.005    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/mysql/connector/connection_cext.py:798(unread_result)
     8060    0.005    0.000    0.009    0.000 <frozen posixpath>:71(join)
     3857    0.005    0.000    0.014    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:1158(__init__)
      755    0.005    0.000    0.026    0.000 <frozen posixpath>:440(_joinrealpath)
    21242    0.005    0.000    0.005    0.000 {built-in method sys.intern}
      378    0.005    0.000   93.248    0.247 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/utils/autoreload.py:387(tick)
       18    0.005    0.000    0.005    0.000 {method 'query' of '_mysql_connector.MySQL' objects}
     3857    0.004    0.000    0.006    0.000 <frozen posixpath>:138(splitroot)
    12986    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
     1547    0.004    0.000    0.004    0.000 {method 'match' of 're.Pattern' objects}
     2274    0.004    0.000    0.037    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:164(select_from)
     1895    0.003    0.000    0.129    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:228(_iterate_directories)
    34603    0.003    0.000    0.003    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/mysql/connector/connection_cext.py:790(result_set_available)
    34535    0.003    0.000    0.003    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/mysql/connector/cursor_cext.py:172(_check_executed)
       14    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
     3945    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
    19734    0.002    0.000    0.003    0.000 {built-in method posix.fspath}
     3857    0.002    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:1165(__new__)
        2    0.002    0.001    0.002    0.001 {method 'close' of 'psycopg2.extensions.connection' objects}
10418/10416    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      3/2    0.002    0.001    0.266    0.133 /Users/nico/projects/climato/app/classes/data_loader/bulk_data_loader.py:52(bulkLoad)
     4258    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x1061cca48}
      379    0.002    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/utils/autoreload.py:376(should_stop)
     2274    0.002    0.000    0.119    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:1060(_scandir)
        1    0.002    0.002    0.050    0.050 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/utils/autoreload.py:123(iter_modules_and_files)
      779    0.002    0.000    0.002    0.000 {built-in method math.ceil}
     3857    0.001    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:551(drive)
     1516    0.001    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:52(_ignore_error)
     9657    0.001    0.000    0.002    0.000 <frozen posixpath>:41(_get_sep)
     8413    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     8055    0.001    0.000    0.001    0.000 {method 'partition' of 'str' objects}
       15    0.001    0.000    0.001    0.000 {method 'ping' of '_mysql_connector.MySQL' objects}
        2    0.001    0.001    0.808    0.404 /Users/nico/projects/climato/app/classes/data_loader/bulk_data_loader.py:147(LoadMaxMin)
     2274    0.001    0.000    0.001    0.000 {method '__exit__' of 'posix.ScandirIterator' objects}
     1516    0.001    0.000    0.001    0.000 {method 'is_dir' of 'posix.DirEntry' objects}
     3032    0.001    0.000    0.001    0.000 {built-in method sys.audit}
     2271    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
       75    0.001    0.000    0.002    0.000 {built-in method _io.open}
     1583    0.001    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:407(_load_parts)
       73    0.001    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/importlib_metadata/__init__.py:367(__new__)
        1    0.001    0.001    0.001    0.001 {method 'recv_into' of '_socket.socket' objects}
     3857    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:569(_tail)
     3032    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:176(_select_from)
     1515    0.001    0.000    0.001    0.000 <frozen posixpath>:60(isabs)
     3857    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:560(root)
        5    0.001    0.000    0.001    0.000 {method 'set_character_set' of '_mysql_connector.MySQL' objects}
     7982    0.001    0.000    0.001    0.000 {built-in method _stat.S_ISLNK}
     1141    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      755    0.001    0.000    0.037    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:1229(resolve)
      779    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/socketserver.py:257(service_actions)
        5    0.001    0.000    0.001    0.000 {method 'autocommit' of '_mysql_connector.MySQL' objects}
     1521    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      755    0.000    0.000    0.028    0.000 <frozen posixpath>:431(realpath)
        5    0.000    0.000    0.000    0.000 {method 'commit' of '_mysql_connector.MySQL' objects}
