DAT;RR;RRI;FF;DD;FXI;DXI;T;TD;U;PMER;UV;RAD;IC;WINDCHILL
25/02/2015-02:30;0.0;0.0;6.4;225.0;9.7;None;21.7;20.2;91.0;1009.79;0.0;0.0;21.7;21.7
25/02/2015-02:35;0.0;0.0;4.8;225.0;8.0;None;21.7;20.2;91.0;1009.82;0.0;0.0;21.7;21.7
25/02/2015-02:40;0.0;0.0;4.8;225.0;8.0;None;21.8;20.3;91.0;1009.72;0.0;0.0;21.8;21.8
25/02/2015-02:45;0.0;0.0;4.8;225.0;8.0;None;21.8;20.3;91.0;1009.75;0.0;0.0;21.8;21.8
25/02/2015-02:50;0.0;0.0;4.8;225.0;8.0;None;21.8;20.3;91.0;1009.69;0.0;0.0;21.8;21.8
25/02/2015-02:55;0.0;0.0;3.2;202.0;6.4;None;21.8;20.3;91.0;1009.72;0.0;0.0;21.8;21.8
25/02/2015-03:00;0.0;0.0;3.2;202.0;6.4;None;21.8;20.3;91.0;1009.62;0.0;0.0;21.8;21.8
25/02/2015-03:05;0.0;0.0;4.8;225.0;8.0;None;21.8;20.3;91.0;1009.55;0.0;0.0;21.8;21.8
25/02/2015-03:10;0.0;0.0;3.2;225.0;6.4;None;21.8;20.3;91.0;1009.52;0.0;0.0;21.8;21.8
25/02/2015-03:15;0.0;0.0;4.8;225.0;8.0;None;21.8;20.3;91.0;1009.52;0.0;0.0;21.8;21.8
25/02/2015-03:20;0.0;0.0;4.8;225.0;9.7;None;21.8;20.1;90.0;1009.55;0.0;0.0;21.8;21.8
25/02/2015-03:25;0.0;0.0;4.8;225.0;8.0;None;21.8;20.1;90.0;1009.48;0.0;0.0;21.8;21.8
25/02/2015-03:30;0.0;0.0;4.8;225.0;8.0;None;21.8;20.1;90.0;1009.41;0.0;0.0;21.8;21.8
25/02/2015-03:35;0.0;0.0;4.8;225.0;8.0;None;21.8;20.1;90.0;1009.35;0.0;0.0;21.8;21.8
25/02/2015-03:40;0.0;0.0;3.2;225.0;8.0;None;21.8;20.1;90.0;1009.28;0.0;0.0;21.8;21.8
25/02/2015-03:45;0.0;0.0;6.4;225.0;8.0;None;21.8;20.3;91.0;1009.25;0.0;0.0;21.8;21.8
25/02/2015-03:50;0.0;0.0;4.8;225.0;8.0;None;21.8;20.3;91.0;1009.21;0.0;0.0;21.8;21.8
25/02/2015-03:55;0.0;0.0;3.2;225.0;6.4;None;21.7;20.0;90.0;1009.25;0.0;0.0;21.7;21.7
25/02/2015-04:00;0.0;0.0;4.8;225.0;8.0;None;21.7;20.0;90.0;1009.31;0.0;0.0;21.7;21.7
25/02/2015-04:05;0.0;0.0;4.8;225.0;8.0;None;21.7;20.0;90.0;1009.35;0.0;0.0;21.7;21.7
25/02/2015-04:10;0.0;0.0;6.4;225.0;9.7;None;21.6;19.9;90.0;1009.25;0.0;0.0;21.6;21.6
25/02/2015-04:15;0.0;0.0;6.4;225.0;9.7;None;21.6;19.9;90.0;1009.21;0.0;0.0;21.6;21.6
25/02/2015-04:20;0.0;0.0;6.4;225.0;8.0;None;21.6;19.7;89.0;1009.11;0.0;0.0;21.6;21.6
25/02/2015-04:25;0.0;0.0;4.8;225.0;6.4;None;21.6;19.7;89.0;1009.11;0.0;0.0;21.6;21.6
25/02/2015-04:30;0.0;0.0;6.4;225.0;8.0;None;21.6;19.7;89.0;1009.08;0.0;0.0;21.6;21.6
25/02/2015-04:35;0.0;0.0;3.2;225.0;4.8;None;21.5;19.6;89.0;1009.11;0.0;0.0;21.5;21.5
25/02/2015-04:40;0.0;0.0;3.2;225.0;8.0;None;21.4;19.6;89.0;1009.11;0.0;0.0;21.4;21.4
25/02/2015-04:45;0.0;0.0;3.2;225.0;6.4;None;21.4;19.6;89.0;1009.04;0.0;0.0;21.4;21.4
25/02/2015-04:50;0.0;0.0;3.2;225.0;4.8;None;21.5;19.8;90.0;1009.01;0.0;0.0;21.5;21.5
25/02/2015-04:55;0.0;0.0;4.8;225.0;8.0;None;21.5;19.6;89.0;1009.01;0.0;0.0;21.5;21.5
25/02/2015-05:00;0.0;0.0;1.6;225.0;3.2;None;21.5;19.6;89.0;1009.01;0.0;0.0;21.5;21.5
25/02/2015-05:05;0.0;0.0;3.2;225.0;4.8;None;21.4;19.6;89.0;1009.11;0.0;0.0;21.4;21.4
25/02/2015-05:10;0.0;0.0;3.2;202.0;4.8;None;21.4;19.8;90.0;1009.18;0.0;0.0;21.4;21.4
25/02/2015-05:15;0.0;0.0;4.8;225.0;6.4;None;21.4;19.7;90.0;1009.21;0.0;0.0;21.4;21.4
25/02/2015-05:20;0.0;0.0;4.8;225.0;6.4;None;21.3;19.6;90.0;1009.28;0.0;0.0;21.3;21.3
25/02/2015-05:25;0.0;0.0;6.4;225.0;9.7;None;21.2;19.7;91.0;1009.18;0.0;0.0;21.2;21.2
25/02/2015-05:30;0.0;0.0;6.4;225.0;9.7;None;21.2;19.7;91.0;1009.28;0.0;0.0;21.2;21.2
25/02/2015-05:35;0.0;0.0;3.2;225.0;6.4;None;21.1;19.4;90.0;1009.25;0.0;0.0;21.1;21.1
25/02/2015-05:40;0.0;0.0;3.2;202.0;8.0;None;21.1;19.6;91.0;1009.25;0.0;0.0;21.1;21.1
25/02/2015-05:45;0.0;0.0;3.2;225.0;8.0;None;21.1;19.6;91.0;1009.28;0.0;0.0;21.1;21.1
25/02/2015-05:50;0.0;0.0;4.8;225.0;8.0;None;21.1;19.6;91.0;1009.38;0.0;0.0;21.1;21.1
25/02/2015-05:55;0.0;0.0;6.4;225.0;8.0;None;21.1;19.4;90.0;1009.45;0.0;0.0;21.1;21.1
25/02/2015-06:00;0.0;0.0;4.8;225.0;6.4;None;21.1;19.5;91.0;1009.52;0.0;0.0;21.1;21.1
25/02/2015-06:05;0.0;0.0;4.8;225.0;8.0;None;21.0;19.3;90.0;1009.52;0.0;0.0;21.0;21.0
25/02/2015-06:10;0.0;0.0;4.8;225.0;8.0;None;21.0;19.3;90.0;1009.52;0.0;0.0;21.0;21.0
25/02/2015-06:15;0.0;0.0;4.8;225.0;6.4;None;21.0;19.3;90.0;1009.58;0.0;0.0;21.0;21.0
25/02/2015-06:20;0.0;0.0;4.8;225.0;6.4;None;21.0;19.3;90.0;1009.69;0.0;5.0;21.0;21.0
25/02/2015-06:25;0.0;0.0;3.2;225.0;4.8;None;21.0;19.1;89.0;1009.69;0.0;9.0;21.0;21.0
25/02/2015-06:30;0.0;0.0;3.2;225.0;6.4;None;21.1;19.2;89.0;1009.75;0.0;12.0;21.1;21.1
25/02/2015-06:35;0.0;0.0;3.2;225.0;4.8;None;21.1;19.4;90.0;1009.89;0.0;15.0;21.1;21.1
25/02/2015-06:40;0.0;0.0;3.2;225.0;4.8;None;21.2;19.5;90.0;1009.96;0.0;19.0;21.2;21.2
25/02/2015-06:45;0.0;0.0;3.2;202.0;6.4;None;21.3;19.6;90.0;1010.09;0.0;21.0;21.3;21.3
25/02/2015-06:50;0.0;0.0;4.8;225.0;6.4;None;21.4;19.7;90.0;1010.02;0.0;23.0;21.4;21.4
25/02/2015-06:55;0.0;0.0;3.2;202.0;6.4;None;21.5;19.6;89.0;1010.02;0.0;25.0;21.5;21.5
25/02/2015-07:00;0.0;0.0;4.8;202.0;8.0;None;21.7;20.0;90.0;1009.99;0.0;26.0;21.7;21.7
25/02/2015-07:05;0.0;0.0;1.6;202.0;4.8;None;21.9;20.2;90.0;1010.09;0.0;28.0;21.9;21.9
25/02/2015-07:10;0.0;0.0;3.2;202.0;6.4;None;22.2;19.9;87.0;1010.09;0.0;30.0;22.2;22.2
25/02/2015-07:15;0.0;0.0;3.2;202.0;4.8;None;22.4;20.0;86.0;1010.02;0.0;34.0;22.4;22.4
25/02/2015-07:20;0.0;0.0;4.8;225.0;6.4;None;22.6;20.2;86.0;1009.92;0.0;39.0;22.6;22.6
25/02/2015-07:25;0.0;0.0;4.8;225.0;6.4;None;22.9;20.3;85.0;1009.92;0.0;46.0;22.9;22.9
25/02/2015-07:30;0.0;0.0;4.8;225.0;6.4;None;23.2;20.2;83.0;1009.92;0.0;45.0;23.2;23.2
25/02/2015-07:35;0.0;0.0;1.6;225.0;3.2;None;23.6;20.3;82.0;1009.89;0.0;45.0;23.6;23.6
25/02/2015-07:40;0.0;0.0;1.6;202.0;4.8;None;23.9;20.7;82.0;1010.02;0.0;43.0;23.9;23.9
25/02/2015-07:45;0.0;0.0;0.0;None;3.2;None;24.2;20.8;81.0;1009.99;0.0;49.0;24.2;24.2
25/02/2015-07:50;0.0;0.0;0.0;None;3.2;None;24.6;21.4;82.0;1009.99;0.0;48.0;24.6;24.6
25/02/2015-07:55;0.0;0.0;1.6;315.0;4.8;None;24.9;21.3;80.0;1010.06;0.0;40.0;24.9;24.9
25/02/2015-08:00;0.0;0.0;3.2;315.0;6.4;None;25.3;21.4;79.0;1010.19;1.0;65.0;25.3;25.3
25/02/2015-08:05;0.0;0.0;3.2;315.0;6.4;None;25.6;21.5;78.0;1010.23;1.0;123.0;25.6;25.6
25/02/2015-08:10;0.0;0.0;3.2;338.0;4.8;None;25.8;21.3;76.0;1010.3;2.0;283.0;25.8;25.8
25/02/2015-08:15;0.0;0.0;3.2;0.0;4.8;None;26.0;21.7;77.0;1010.3;2.0;301.0;26.0;26.0
25/02/2015-08:20;0.0;0.0;1.6;338.0;4.8;None;26.2;21.7;76.0;1010.4;2.0;323.0;26.2;26.2
25/02/2015-08:25;0.0;0.0;3.2;22.0;6.4;None;26.4;21.2;73.0;1010.4;2.0;408.0;26.4;26.4
25/02/2015-08:30;0.0;0.0;3.2;22.0;4.8;None;26.7;21.5;73.0;1010.43;3.0;454.0;28.6;26.7
25/02/2015-08:35;0.0;0.0;1.6;22.0;6.4;None;27.0;21.5;72.0;1010.4;3.0;476.0;29.0;27.0
25/02/2015-08:40;0.0;0.0;3.2;338.0;4.8;None;27.3;21.6;71.0;1010.36;3.0;491.0;29.4;27.3
25/02/2015-08:45;0.0;0.0;1.6;315.0;4.8;None;27.5;21.8;71.0;1010.43;3.0;510.0;29.8;27.5
25/02/2015-08:50;0.0;0.0;1.6;0.0;4.8;None;27.8;21.8;70.0;1010.36;4.0;543.0;30.2;27.8
25/02/2015-08:55;0.0;0.0;1.6;315.0;6.4;None;28.0;22.0;70.0;1010.46;4.0;563.0;30.7;28.0
25/02/2015-09:00;0.0;0.0;1.6;338.0;6.4;None;28.2;21.3;66.0;1010.43;4.0;587.0;30.5;28.2
25/02/2015-09:05;0.0;0.0;3.2;338.0;6.4;None;28.4;21.9;68.0;1010.36;4.0;602.0;31.1;28.4
25/02/2015-09:10;0.0;0.0;1.6;338.0;4.8;None;28.6;21.9;67.0;1010.4;4.0;620.0;31.4;28.6
25/02/2015-09:15;0.0;0.0;1.6;315.0;4.8;None;28.9;22.2;67.0;1010.4;5.0;640.0;32.0;28.9
25/02/2015-09:20;0.0;0.0;1.6;315.0;4.8;None;29.1;22.1;66.0;1010.4;5.0;664.0;32.2;29.1
25/02/2015-09:25;0.0;0.0;3.2;315.0;11.3;None;29.4;21.9;64.0;1010.4;5.0;683.0;32.4;29.4
25/02/2015-09:30;0.0;0.0;3.2;315.0;6.4;None;29.4;21.4;62.0;1010.36;6.0;693.0;32.1;29.4
25/02/2015-09:35;0.0;0.0;1.6;292.0;6.4;None;29.3;21.8;64.0;1010.4;6.0;713.0;32.3;29.3
25/02/2015-09:40;0.0;0.0;4.8;68.0;11.3;None;29.4;22.0;64.0;1010.46;6.0;740.0;32.5;29.4
25/02/2015-09:45;0.0;0.0;3.2;68.0;8.0;None;29.2;21.7;64.0;1010.5;6.0;692.0;32.0;29.2
25/02/2015-09:50;0.0;0.0;1.6;68.0;6.4;None;29.1;22.3;67.0;1010.46;4.0;182.0;32.3;29.1
25/02/2015-09:55;0.0;0.0;1.6;68.0;8.0;None;28.7;22.3;68.0;1010.46;4.0;187.0;31.8;28.7
25/02/2015-10:00;0.0;0.0;3.2;90.0;4.8;None;28.4;22.2;69.0;1010.5;4.0;200.0;31.3;28.4
25/02/2015-10:05;0.0;0.0;4.8;90.0;9.7;None;28.4;22.5;70.0;1010.43;7.0;571.0;31.6;28.4
25/02/2015-10:10;0.0;0.0;4.8;90.0;16.1;None;28.6;22.2;68.0;1010.33;7.0;865.0;31.6;28.6
25/02/2015-10:15;0.0;0.0;4.8;90.0;9.7;None;28.8;22.8;70.0;1010.23;7.0;576.0;32.4;28.8
25/02/2015-10:20;0.0;0.0;4.8;68.0;16.1;None;29.1;22.4;67.0;1010.16;8.0;870.0;32.4;29.1
25/02/2015-10:25;0.0;0.0;11.3;68.0;19.3;None;28.9;22.2;67.0;1010.06;9.0;885.0;32.1;28.9
25/02/2015-10:30;0.0;0.0;9.7;68.0;17.7;None;28.8;22.4;68.0;1010.06;9.0;875.0;32.0;28.8
25/02/2015-10:35;0.0;0.0;8.0;68.0;19.3;None;29.1;22.1;66.0;1010.06;9.0;897.0;32.2;29.1
25/02/2015-10:40;0.0;0.0;11.3;68.0;17.7;None;29.0;21.8;65.0;1010.02;9.0;904.0;31.8;29.0
25/02/2015-10:45;0.0;0.0;8.0;68.0;17.7;None;29.1;22.3;67.0;1009.99;9.0;913.0;32.3;29.1
25/02/2015-10:50;0.0;0.0;8.0;68.0;20.9;None;29.2;22.5;67.0;1009.92;10.0;872.0;32.6;29.2
25/02/2015-10:55;0.0;0.0;8.0;68.0;17.7;None;29.4;22.7;67.0;1009.92;10.0;972.0;33.0;29.4
25/02/2015-11:00;0.0;0.0;9.7;112.0;17.7;None;29.4;22.7;67.0;1009.89;11.0;988.0;33.1;29.4
25/02/2015-11:05;0.0;0.0;6.4;90.0;17.7;None;29.7;22.5;65.0;1009.82;11.0;1062.0;33.3;29.7
25/02/2015-11:10;0.0;0.0;9.7;90.0;17.7;None;29.7;22.2;64.0;1009.92;10.0;1162.0;33.0;29.7
25/02/2015-11:15;0.0;0.0;8.0;90.0;16.1;None;29.6;22.4;65.0;1009.85;11.0;1019.0;33.1;29.6
25/02/2015-11:20;0.0;0.0;8.0;90.0;16.1;None;29.7;22.4;65.0;1009.79;10.0;765.0;33.2;29.7
25/02/2015-11:25;0.0;0.0;8.0;112.0;19.3;None;30.0;23.0;66.0;1009.79;12.0;1334.0;34.1;30.0
25/02/2015-11:30;0.0;0.0;9.7;90.0;20.9;None;30.1;22.3;63.0;1009.72;13.0;1245.0;33.6;30.1
25/02/2015-11:35;0.0;0.0;8.0;90.0;19.3;None;30.0;22.2;63.0;1009.65;11.0;1211.0;33.4;30.0
25/02/2015-11:40;0.0;0.0;9.7;68.0;20.9;None;29.4;22.7;67.0;1009.48;8.0;469.0;33.0;29.4
