DAT;RR;RRI;FF;DD;FXI;DXI;T;TD;U;PMER;UV;RAD;IC;WINDCHILL
15/02/2015-05:00;0.0;0.0;0.0;None;3.2;None;22.3;18.9;81.0;1010.4;0.0;0.0;22.3;22.3
15/02/2015-05:05;0.0;0.0;4.8;225.0;8.0;None;22.2;18.8;81.0;1010.36;0.0;0.0;22.2;22.2
15/02/2015-05:10;0.0;0.0;6.4;225.0;9.7;None;22.2;18.8;81.0;1010.36;0.0;0.0;22.2;22.2
15/02/2015-05:15;0.0;0.0;4.8;225.0;8.0;None;22.2;18.6;80.0;1010.4;0.0;0.0;22.2;22.2
15/02/2015-05:20;0.0;0.0;4.8;225.0;8.0;None;22.3;18.9;81.0;1010.36;0.0;0.0;22.3;22.3
15/02/2015-05:25;0.0;0.0;4.8;225.0;8.0;None;22.2;18.8;81.0;1010.4;0.0;0.0;22.2;22.2
15/02/2015-05:30;0.0;0.0;3.2;225.0;6.4;None;22.2;18.8;81.0;1010.4;0.0;0.0;22.2;22.2
15/02/2015-05:35;0.0;0.0;3.2;202.0;4.8;None;22.2;18.6;80.0;1010.5;0.0;0.0;22.2;22.2
15/02/2015-05:40;0.0;0.0;3.2;225.0;4.8;None;22.2;18.8;81.0;1010.57;0.0;0.0;22.2;22.2
15/02/2015-05:45;0.0;0.0;1.6;315.0;3.2;None;22.1;18.7;81.0;1010.63;0.0;0.0;22.1;22.1
15/02/2015-05:50;0.0;0.0;1.6;248.0;3.2;None;22.1;18.7;81.0;1010.77;0.0;0.0;22.1;22.1
15/02/2015-05:55;0.0;0.0;1.6;248.0;3.2;None;22.0;18.6;81.0;1010.84;0.0;0.0;22.0;22.0
15/02/2015-06:00;0.0;0.0;3.2;225.0;6.4;None;21.9;18.7;82.0;1010.84;0.0;0.0;21.9;21.9
15/02/2015-06:05;0.0;0.0;6.4;225.0;9.7;None;21.8;18.8;83.0;1010.8;0.0;0.0;21.8;21.8
15/02/2015-06:10;0.0;0.0;6.4;225.0;8.0;None;21.7;18.7;83.0;1010.94;0.0;0.0;21.7;21.7
15/02/2015-06:15;0.0;0.0;6.4;225.0;8.0;None;21.6;18.8;84.0;1011.04;0.0;4.0;21.6;21.6
15/02/2015-06:20;0.0;0.0;6.4;225.0;8.0;None;21.5;18.7;84.0;1011.18;0.0;7.0;21.5;21.5
15/02/2015-06:25;0.0;0.0;6.4;225.0;9.7;None;21.4;18.6;84.0;1011.21;0.0;9.0;21.4;21.4
15/02/2015-06:30;0.0;0.0;4.8;225.0;8.0;None;21.4;18.6;84.0;1011.28;0.0;14.0;21.4;21.4
15/02/2015-06:35;0.0;0.0;6.4;225.0;9.7;None;21.4;18.6;84.0;1011.18;0.0;23.0;21.4;21.4
15/02/2015-06:40;0.0;0.0;6.4;225.0;9.7;None;21.5;18.7;84.0;1011.24;0.0;39.0;21.5;21.5
15/02/2015-06:45;0.0;0.0;8.0;225.0;11.3;None;21.6;18.8;84.0;1011.21;0.0;44.0;21.6;21.6
15/02/2015-06:50;0.0;0.0;6.4;225.0;9.7;None;21.7;18.9;84.0;1011.21;0.0;39.0;21.7;21.7
15/02/2015-06:55;0.0;0.0;6.4;225.0;9.7;None;21.9;18.9;83.0;1011.21;0.0;28.0;21.9;21.9
15/02/2015-07:00;0.0;0.0;6.4;225.0;9.7;None;22.1;19.3;84.0;1011.28;0.0;43.0;22.1;22.1
15/02/2015-07:05;0.0;0.0;4.8;225.0;6.4;None;22.3;19.3;83.0;1011.31;0.0;32.0;22.3;22.3
15/02/2015-07:10;0.0;0.0;3.2;225.0;4.8;None;22.6;19.3;82.0;1011.34;0.0;43.0;22.6;22.6
15/02/2015-07:15;0.0;0.0;1.6;225.0;4.8;None;22.8;19.6;82.0;1011.45;0.0;37.0;22.8;22.8
15/02/2015-07:20;0.0;0.0;1.6;225.0;4.8;None;23.1;20.0;83.0;1011.48;0.0;63.0;23.1;23.1
15/02/2015-07:25;0.0;0.0;3.2;225.0;4.8;None;23.3;19.9;81.0;1011.41;1.0;84.0;23.3;23.3
15/02/2015-07:30;0.0;0.0;1.6;225.0;4.8;None;23.6;19.7;79.0;1011.45;0.0;38.0;23.6;23.6
15/02/2015-07:35;0.0;0.0;1.6;225.0;4.8;None;23.8;19.6;77.0;1011.55;0.0;36.0;23.8;23.8
15/02/2015-07:40;0.0;0.0;1.6;202.0;3.2;None;24.1;19.6;76.0;1011.55;0.0;38.0;24.1;24.1
15/02/2015-07:45;0.0;0.0;0.0;None;0.0;None;24.4;19.7;75.0;1011.62;0.0;40.0;24.4;24.4
15/02/2015-07:50;0.0;0.0;0.0;None;0.0;None;24.7;20.0;75.0;1011.68;0.0;42.0;24.7;24.7
15/02/2015-07:55;0.0;0.0;0.0;None;3.2;None;24.9;19.7;73.0;1011.75;0.0;42.0;24.9;24.9
15/02/2015-08:00;0.0;0.0;0.0;None;3.2;None;25.2;19.8;72.0;1011.82;0.0;44.0;25.2;25.2
15/02/2015-08:05;0.0;0.0;0.0;None;1.6;None;25.4;20.1;72.0;1011.85;0.0;45.0;25.4;25.4
15/02/2015-08:10;0.0;0.0;0.0;None;3.2;None;25.7;20.8;74.0;1011.92;0.0;45.0;25.7;25.7
15/02/2015-08:15;0.0;0.0;1.6;135.0;4.8;None;26.0;20.4;71.0;1011.92;1.0;55.0;26.0;26.0
15/02/2015-08:20;0.0;0.0;1.6;68.0;4.8;None;26.2;20.3;70.0;1011.92;1.0;74.0;26.2;26.2
15/02/2015-08:25;0.0;0.0;1.6;22.0;4.8;None;26.4;20.1;68.0;1011.95;1.0;54.0;26.4;26.4
15/02/2015-08:30;0.0;0.0;1.6;22.0;4.8;None;26.7;20.1;67.0;1012.06;2.0;122.0;28.2;26.7
15/02/2015-08:35;0.0;0.0;1.6;22.0;4.8;None;26.9;20.3;67.0;1012.02;3.0;398.0;28.4;26.9
15/02/2015-08:40;0.0;0.0;1.6;338.0;6.4;None;27.1;20.4;67.0;1012.09;3.0;530.0;28.7;27.1
15/02/2015-08:45;0.0;0.0;0.0;None;1.6;None;27.4;20.5;66.0;1012.02;4.0;552.0;29.1;27.4
15/02/2015-08:50;0.0;0.0;6.4;68.0;12.9;None;27.4;20.1;64.0;1012.12;4.0;573.0;29.0;27.4
15/02/2015-08:55;0.0;0.0;4.8;68.0;9.7;None;27.4;20.7;67.0;1012.12;4.0;591.0;29.2;27.4
15/02/2015-09:00;0.0;0.0;1.6;68.0;6.4;None;27.7;20.3;64.0;1012.23;4.0;607.0;29.4;27.7
15/02/2015-09:05;0.0;0.0;3.2;112.0;6.4;None;28.0;20.8;65.0;1012.23;5.0;627.0;30.0;28.0
15/02/2015-09:10;0.0;0.0;1.6;112.0;4.8;None;28.4;21.0;64.0;1012.16;5.0;646.0;30.7;28.4
15/02/2015-09:15;0.0;0.0;3.2;68.0;8.0;None;28.5;20.8;63.0;1012.16;5.0;666.0;30.6;28.5
15/02/2015-09:20;0.0;0.0;3.2;112.0;8.0;None;28.5;21.1;64.0;1012.19;5.0;698.0;30.8;28.5
15/02/2015-09:25;0.0;0.0;3.2;68.0;6.4;None;28.7;20.4;61.0;1012.23;6.0;735.0;30.6;28.7
15/02/2015-09:30;0.0;0.0;3.2;158.0;6.4;None;28.7;20.5;61.0;1012.19;6.0;744.0;30.7;28.7
15/02/2015-09:35;0.0;0.0;3.2;68.0;11.3;None;28.6;20.6;62.0;1012.19;5.0;580.0;30.7;28.6
15/02/2015-09:40;0.0;0.0;3.2;68.0;8.0;None;28.6;20.9;63.0;1012.26;7.0;772.0;30.7;28.6
15/02/2015-09:45;0.0;0.0;4.8;68.0;8.0;None;28.7;20.7;62.0;1012.19;6.0;540.0;30.8;28.7
15/02/2015-09:50;0.0;0.0;3.2;45.0;12.9;None;28.5;21.1;64.0;1012.12;5.0;363.0;30.8;28.5
15/02/2015-09:55;0.0;0.0;4.8;68.0;11.3;None;28.0;21.1;66.0;1012.23;4.0;333.0;30.2;28.0
15/02/2015-10:00;0.0;0.0;4.8;68.0;12.9;None;27.7;21.3;68.0;1012.26;6.0;428.0;29.9;27.7
15/02/2015-10:05;0.0;0.0;3.2;68.0;11.3;None;27.9;21.0;66.0;1012.26;7.0;908.0;30.1;27.9
15/02/2015-10:10;0.0;0.0;6.4;68.0;14.5;None;28.3;21.6;67.0;1012.33;8.0;986.0;30.8;28.3
15/02/2015-10:15;0.0;0.0;6.4;68.0;14.5;None;28.1;21.9;69.0;1012.29;7.0;861.0;30.6;28.1
15/02/2015-10:20;0.0;0.0;3.2;68.0;12.9;None;28.1;21.9;69.0;1012.23;7.0;541.0;30.6;28.1
15/02/2015-10:25;0.0;0.0;4.8;68.0;12.9;None;28.1;21.6;68.0;1012.29;7.0;823.0;30.5;28.1
15/02/2015-10:30;0.0;0.0;3.2;68.0;12.9;None;28.1;21.9;69.0;1012.26;7.0;251.0;30.7;28.1
15/02/2015-10:35;0.0;0.0;4.8;68.0;12.9;None;28.1;22.2;70.0;1012.33;8.0;1009.0;30.9;28.1
15/02/2015-10:40;0.0;0.0;3.2;68.0;8.0;None;28.6;22.3;69.0;1012.29;10.0;998.0;31.6;28.6
15/02/2015-10:45;0.0;0.0;3.2;22.0;14.5;None;28.9;22.2;67.0;1012.23;9.0;1018.0;32.0;28.9
15/02/2015-10:50;0.0;0.0;6.4;68.0;17.7;None;28.7;22.2;68.0;1012.33;9.0;1071.0;31.7;28.7
15/02/2015-10:55;0.0;0.0;6.4;68.0;17.7;None;28.2;22.2;70.0;1012.23;9.0;533.0;31.0;28.2
15/02/2015-11:00;0.0;0.0;6.4;68.0;17.7;None;28.3;22.1;69.0;1012.23;11.0;1140.0;31.1;28.3
15/02/2015-11:05;0.0;0.0;8.0;68.0;14.5;None;28.0;22.5;72.0;1012.23;8.0;504.0;30.9;28.0
15/02/2015-11:10;0.0;0.0;9.7;68.0;19.3;None;27.7;22.2;72.0;1012.33;7.0;267.0;30.4;27.7
15/02/2015-11:15;0.0;0.0;8.0;68.0;16.1;None;27.1;22.3;75.0;1012.26;6.0;309.0;29.5;27.1
15/02/2015-11:20;0.0;0.0;8.0;68.0;16.1;None;26.9;21.9;74.0;1012.23;5.0;289.0;29.0;26.9
15/02/2015-11:25;0.0;0.0;6.4;68.0;16.1;None;26.8;22.2;76.0;1012.12;6.0;414.0;28.9;26.8
15/02/2015-11:30;0.0;0.0;9.7;68.0;16.1;None;26.6;22.3;77.0;1012.19;4.0;273.0;26.6;26.6
15/02/2015-11:35;0.0;0.0;6.4;68.0;17.7;None;26.5;22.0;76.0;1012.26;5.0;330.0;26.5;26.5
15/02/2015-11:40;0.0;0.0;6.4;68.0;14.5;None;26.4;22.1;77.0;1012.23;5.0;336.0;26.4;26.4
15/02/2015-11:45;0.0;0.0;6.4;68.0;14.5;None;26.7;22.1;76.0;1012.29;6.0;298.0;26.7;26.7
15/02/2015-11:50;0.0;0.0;4.8;68.0;16.1;None;26.8;22.0;75.0;1012.26;5.0;385.0;28.9;26.8
15/02/2015-11:55;0.0;0.0;6.4;68.0;16.1;None;26.9;22.1;75.0;1012.16;8.0;541.0;29.1;26.9
15/02/2015-12:00;0.0;0.0;6.4;68.0;17.7;None;26.8;21.8;74.0;1012.16;6.0;436.0;28.8;26.8
15/02/2015-12:05;0.0;0.0;4.8;90.0;12.9;None;26.8;21.8;74.0;1012.06;6.0;410.0;28.9;26.8
15/02/2015-12:10;0.0;0.0;4.8;90.0;9.7;None;26.9;21.7;73.0;1012.06;5.0;351.0;28.9;26.9
15/02/2015-12:15;0.0;0.0;4.8;68.0;12.9;None;26.8;22.3;76.0;1012.02;5.0;346.0;29.0;26.8
15/02/2015-12:20;0.0;0.0;4.8;68.0;14.5;None;26.8;21.8;74.0;1012.02;5.0;373.0;28.8;26.8
15/02/2015-12:25;0.0;0.0;4.8;68.0;9.7;None;26.7;21.9;75.0;1011.95;5.0;408.0;26.7;26.7
15/02/2015-12:30;0.0;0.0;4.8;68.0;14.5;None;26.8;22.1;75.0;1011.92;6.0;497.0;29.0;26.8
15/02/2015-12:35;0.0;0.0;6.4;68.0;14.5;None;27.0;22.7;77.0;1011.92;7.0;527.0;29.5;27.0
15/02/2015-12:40;0.0;0.0;9.7;68.0;17.7;None;27.1;22.1;74.0;1011.92;6.0;461.0;29.3;27.1
15/02/2015-12:45;0.0;0.0;6.4;68.0;12.9;None;26.9;22.4;76.0;1011.92;5.0;395.0;29.3;26.9
15/02/2015-12:50;0.0;0.0;6.4;68.0;16.1;None;26.8;22.1;75.0;1011.95;5.0;422.0;29.0;26.8
15/02/2015-12:55;0.0;0.0;6.4;90.0;12.9;None;26.8;22.2;76.0;1011.89;5.0;371.0;28.9;26.8
15/02/2015-13:00;0.0;0.0;4.8;68.0;11.3;None;26.6;22.4;78.0;1011.85;5.0;333.0;26.6;26.6
15/02/2015-13:05;0.0;0.0;4.8;68.0;14.5;None;26.6;22.2;77.0;1011.82;6.0;441.0;26.6;26.6
15/02/2015-13:10;0.0;0.0;4.8;68.0;12.9;None;26.7;22.4;77.0;1011.75;6.0;522.0;28.9;26.7
15/02/2015-13:15;0.0;0.0;3.2;68.0;8.0;None;26.7;21.9;75.0;1011.68;5.0;328.0;26.7;26.7
15/02/2015-13:20;0.0;0.0;3.2;90.0;9.7;None;26.6;22.2;77.0;1011.72;3.0;212.0;26.6;26.6
15/02/2015-13:25;0.0;0.0;3.2;112.0;4.8;None;26.4;22.1;77.0;1011.72;2.0;155.0;26.4;26.4
15/02/2015-13:30;0.0;0.0;3.2;68.0;6.4;None;26.2;21.5;75.0;1011.68;2.0;136.0;26.2;26.2
15/02/2015-13:35;0.0;0.0;0.0;None;1.6;None;26.3;22.2;78.0;1011.58;2.0;134.0;26.3;26.3
15/02/2015-13:40;0.0;0.0;3.2;68.0;6.4;None;26.2;21.5;75.0;1011.65;2.0;126.0;26.2;26.2
15/02/2015-13:45;0.0;0.0;1.6;68.0;6.4;None;26.2;22.1;78.0;1011.58;2.0;111.0;26.2;26.2
15/02/2015-13:50;0.0;0.0;3.2;68.0;6.4;None;26.2;22.3;79.0;1011.55;2.0;117.0;26.2;26.2
15/02/2015-13:55;0.0;0.0;1.6;135.0;6.4;None;26.2;22.3;79.0;1011.58;2.0;138.0;26.2;26.2
15/02/2015-14:00;0.0;0.0;3.2;225.0;8.0;None;26.1;22.2;79.0;1011.51;2.0;108.0;26.1;26.1
15/02/2015-14:05;0.0;0.0;1.6;202.0;6.4;None;25.9;21.8;78.0;1011.41;1.0;82.0;25.9;25.9
15/02/2015-14:10;0.0;0.0;4.8;158.0;8.0;None;25.7;22.2;81.0;1011.28;1.0;69.0;25.7;25.7
15/02/2015-14:15;0.2;0.0;1.6;225.0;4.8;None;25.5;22.2;82.0;1011.24;1.0;69.0;25.5;25.5
15/02/2015-14:20;0.0;0.0;4.8;225.0;12.9;None;25.3;22.2;83.0;1011.18;1.0;69.0;25.3;25.3
15/02/2015-14:25;0.0;0.0;8.0;202.0;16.1;None;25.0;21.9;83.0;1011.21;1.0;63.0;25.0;25.0
15/02/2015-14:30;0.0;0.0;8.0;202.0;19.3;None;24.8;21.9;84.0;1011.14;1.0;80.0;24.8;24.8
15/02/2015-14:35;0.2;0.0;9.7;225.0;16.1;None;24.6;21.9;85.0;1011.18;1.0;64.0;24.6;24.6
15/02/2015-14:40;0.0;0.0;8.0;225.0;14.5;None;24.3;21.9;86.0;1011.07;0.0;53.0;24.3;24.3
15/02/2015-14:45;0.4;1.04;8.0;225.0;12.9;None;24.2;22.1;88.0;1011.18;1.0;61.0;24.2;24.2
15/02/2015-14:50;0.4;1.04;6.4;225.0;12.9;None;24.1;22.0;88.0;1011.11;1.0;61.0;24.1;24.1
15/02/2015-14:55;0.0;0.22;3.2;225.0;11.3;None;23.9;22.2;90.0;1011.11;1.0;76.0;23.9;23.9
15/02/2015-15:00;0.0;0.12;4.8;225.0;11.3;None;23.9;22.2;90.0;1011.07;1.0;73.0;23.9;23.9
15/02/2015-15:05;0.2;0.12;4.8;202.0;9.7;None;23.8;22.1;90.0;1011.07;1.0;77.0;23.8;23.8
15/02/2015-15:10;0.0;0.08;8.0;225.0;12.9;None;23.9;22.2;90.0;1011.07;1.0;109.0;23.9;23.9
15/02/2015-15:15;0.0;0.08;8.0;225.0;16.1;None;23.9;22.4;91.0;1011.11;2.0;138.0;23.9;23.9
15/02/2015-15:20;0.0;0.08;6.4;225.0;11.3;None;23.9;22.4;91.0;1011.04;2.0;164.0;23.9;23.9
15/02/2015-15:25;0.0;0.0;6.4;225.0;14.5;None;24.0;22.5;91.0;1011.07;2.0;155.0;24.0;24.0
15/02/2015-15:30;0.0;0.0;4.8;225.0;9.7;None;24.1;22.5;91.0;1011.11;2.0;145.0;24.1;24.1
15/02/2015-15:35;0.0;0.0;3.2;225.0;8.0;None;24.1;22.6;91.0;1011.18;1.0;128.0;24.1;24.1
15/02/2015-15:40;0.0;0.0;1.6;270.0;9.7;None;24.2;22.6;91.0;1011.18;2.0;146.0;24.2;24.2
15/02/2015-15:45;0.0;0.0;4.8;225.0;9.7;None;24.2;22.4;90.0;1011.14;2.0;161.0;24.2;24.2
15/02/2015-15:50;0.0;0.0;3.2;225.0;8.0;None;24.2;22.3;89.0;1011.21;2.0;169.0;24.2;24.2
15/02/2015-15:55;0.0;0.0;3.2;225.0;6.4;None;24.2;22.5;90.0;1011.18;2.0;158.0;24.2;24.2
15/02/2015-16:00;0.0;0.0;3.2;248.0;8.0;None;24.3;22.6;90.0;1011.18;2.0;168.0;24.3;24.3
15/02/2015-16:05;0.0;0.0;1.6;248.0;6.4;None;24.3;22.4;89.0;1011.24;2.0;166.0;24.3;24.3
15/02/2015-16:10;0.0;0.0;1.6;270.0;6.4;None;24.4;22.3;88.0;1011.31;2.0;161.0;24.4;24.4
15/02/2015-16:15;0.0;0.0;3.2;292.0;6.4;None;24.4;22.1;87.0;1011.24;2.0;182.0;24.4;24.4
15/02/2015-16:20;0.0;0.0;3.2;270.0;6.4;None;24.4;22.4;88.0;1011.24;2.0;215.0;24.4;24.4
15/02/2015-16:25;0.0;0.0;3.2;225.0;8.0;None;24.4;22.2;87.0;1011.24;2.0;194.0;24.4;24.4
15/02/2015-16:30;0.0;0.0;1.6;225.0;6.4;None;24.6;22.5;88.0;1011.31;1.0;167.0;24.6;24.6
15/02/2015-16:35;0.0;0.0;1.6;225.0;6.4;None;24.6;22.7;89.0;1011.28;1.0;138.0;24.6;24.6
15/02/2015-16:40;0.0;0.0;3.2;292.0;4.8;None;24.7;22.6;88.0;1011.28;1.0;131.0;24.7;24.7
15/02/2015-16:45;0.2;0.0;3.2;315.0;6.4;None;24.6;22.5;88.0;1011.38;1.0;129.0;24.6;24.6
15/02/2015-16:50;0.0;0.0;0.0;None;3.2;None;24.6;22.7;89.0;1011.38;1.0;141.0;24.6;24.6
15/02/2015-16:55;0.0;0.0;1.6;292.0;4.8;None;24.6;22.7;89.0;1011.41;1.0;148.0;24.6;24.6
15/02/2015-17:00;0.0;0.0;1.6;270.0;3.2;None;24.6;22.9;90.0;1011.38;1.0;145.0;24.6;24.6
15/02/2015-17:05;0.0;0.0;0.0;None;3.2;None;24.7;22.8;89.0;1011.45;1.0;137.0;24.7;24.7
15/02/2015-17:10;0.0;0.0;1.6;248.0;3.2;None;24.7;22.6;88.0;1011.45;1.0;131.0;24.7;24.7
15/02/2015-17:15;0.0;0.0;1.6;248.0;3.2;None;24.8;22.9;89.0;1011.41;1.0;130.0;24.8;24.8
15/02/2015-17:20;0.0;0.0;0.0;None;3.2;None;24.9;22.8;88.0;1011.48;1.0;135.0;24.9;24.9
15/02/2015-17:25;0.0;0.0;0.0;None;1.6;None;25.1;22.6;86.0;1011.45;1.0;134.0;25.1;25.1
15/02/2015-17:30;0.0;0.0;0.0;None;3.2;None;25.2;22.5;85.0;1011.51;1.0;118.0;25.2;25.2
15/02/2015-17:35;0.0;0.0;0.0;None;1.6;None;25.3;22.0;82.0;1011.58;1.0;102.0;25.3;25.3
15/02/2015-17:40;0.0;0.0;0.0;None;0.0;None;25.3;22.3;83.0;1011.62;0.0;91.0;25.3;25.3
15/02/2015-17:45;0.0;0.0;0.0;None;1.6;None;25.4;22.8;85.0;1011.72;0.0;80.0;25.4;25.4
15/02/2015-17:50;0.0;0.0;0.0;None;3.2;None;25.5;22.6;84.0;1011.68;0.0;72.0;25.5;25.5
15/02/2015-17:55;0.0;0.0;1.6;180.0;3.2;None;25.5;22.8;85.0;1011.75;0.0;64.0;25.5;25.5
15/02/2015-18:00;0.0;0.0;1.6;180.0;3.2;None;25.5;22.8;85.0;1011.82;0.0;55.0;25.5;25.5
15/02/2015-18:05;0.0;0.0;0.0;None;3.2;None;25.4;22.6;84.0;1011.89;0.0;49.0;25.4;25.4
15/02/2015-18:10;0.0;0.0;0.0;None;0.0;None;25.4;22.9;86.0;1011.92;0.0;41.0;25.4;25.4
15/02/2015-18:15;0.0;0.0;0.0;None;0.0;None;25.4;23.1;87.0;1012.02;0.0;38.0;25.4;25.4
15/02/2015-18:20;0.0;0.0;0.0;None;3.2;None;25.3;23.0;87.0;1012.06;0.0;35.0;25.3;25.3
15/02/2015-18:25;0.0;0.0;3.2;202.0;4.8;None;25.3;22.8;86.0;1012.09;0.0;31.0;25.3;25.3
15/02/2015-18:30;0.0;0.0;1.6;202.0;3.2;None;25.1;22.4;85.0;1012.12;0.0;25.0;25.1;25.1
15/02/2015-18:35;0.0;0.0;1.6;202.0;4.8;None;25.1;22.6;86.0;1012.16;0.0;20.0;25.1;25.1
15/02/2015-18:40;0.0;0.0;3.2;202.0;4.8;None;24.9;22.4;86.0;1012.23;0.0;15.0;24.9;24.9
15/02/2015-18:45;0.0;0.0;3.2;202.0;4.8;None;24.8;22.3;86.0;1012.26;0.0;11.0;24.8;24.8
15/02/2015-18:50;0.0;0.0;3.2;202.0;4.8;None;24.7;22.4;87.0;1012.36;0.0;6.0;24.7;24.7
15/02/2015-18:55;0.0;0.0;3.2;225.0;4.8;None;24.5;22.2;87.0;1012.39;0.0;1.0;24.5;24.5
15/02/2015-19:00;0.0;0.0;3.2;225.0;4.8;None;24.3;22.1;87.0;1012.5;0.0;0.0;24.3;24.3
15/02/2015-19:05;0.0;0.0;3.2;225.0;8.0;None;24.2;22.1;88.0;1012.56;0.0;0.0;24.2;24.2
15/02/2015-19:10;0.0;0.0;3.2;225.0;6.4;None;24.0;21.9;88.0;1012.6;0.0;0.0;24.0;24.0
15/02/2015-19:15;0.0;0.0;4.8;225.0;8.0;None;23.8;21.9;89.0;1012.63;0.0;0.0;23.8;23.8
15/02/2015-19:20;0.0;0.0;4.8;225.0;8.0;None;23.7;21.8;89.0;1012.73;0.0;0.0;23.7;23.7
15/02/2015-19:25;0.0;0.0;4.8;225.0;8.0;None;23.6;21.7;89.0;1012.77;0.0;0.0;23.6;23.6
15/02/2015-19:30;0.0;0.0;3.2;225.0;6.4;None;23.4;21.6;89.0;1012.73;0.0;0.0;23.4;23.4
15/02/2015-19:35;0.0;0.0;3.2;225.0;6.4;None;23.3;21.6;90.0;1012.77;0.0;0.0;23.3;23.3
15/02/2015-19:40;0.0;0.0;4.8;202.0;6.4;None;23.2;21.3;89.0;1012.87;0.0;0.0;23.2;23.2
15/02/2015-19:45;0.0;0.0;4.8;202.0;8.0;None;23.2;21.5;90.0;1012.87;0.0;0.0;23.2;23.2
15/02/2015-19:50;0.0;0.0;4.8;225.0;8.0;None;23.1;21.3;90.0;1012.97;0.0;0.0;23.1;23.1
15/02/2015-19:55;0.0;0.0;4.8;225.0;6.4;None;23.0;21.3;90.0;1012.9;0.0;0.0;23.0;23.0
15/02/2015-20:00;0.0;0.0;4.8;225.0;8.0;None;22.9;21.2;90.0;1012.97;0.0;0.0;22.9;22.9
15/02/2015-20:05;0.0;0.0;3.2;202.0;8.0;None;22.8;21.1;90.0;1012.97;0.0;0.0;22.8;22.8
15/02/2015-20:10;0.0;0.0;4.8;202.0;6.4;None;22.8;21.1;90.0;1012.97;0.0;0.0;22.8;22.8
15/02/2015-20:15;0.0;0.0;4.8;202.0;9.7;None;22.7;21.0;90.0;1013.07;0.0;0.0;22.7;22.7
15/02/2015-20:20;0.0;0.0;6.4;225.0;9.7;None;22.6;20.9;90.0;1013.07;0.0;0.0;22.6;22.6
15/02/2015-20:25;0.0;0.0;6.4;225.0;8.0;None;22.5;20.8;90.0;1013.11;0.0;0.0;22.5;22.5
15/02/2015-20:30;0.0;0.0;4.8;225.0;8.0;None;22.4;20.7;90.0;1013.17;0.0;0.0;22.4;22.4
15/02/2015-20:35;0.0;0.0;4.8;225.0;8.0;None;22.4;20.7;90.0;1013.17;0.0;0.0;22.4;22.4
15/02/2015-20:40;0.0;0.0;6.4;225.0;8.0;None;22.3;20.6;90.0;1013.21;0.0;0.0;22.3;22.3
15/02/2015-20:45;0.0;0.0;4.8;225.0;6.4;None;22.3;20.6;90.0;1013.21;0.0;0.0;22.3;22.3
15/02/2015-20:50;0.0;0.0;4.8;225.0;6.4;None;22.2;20.5;90.0;1013.21;0.0;0.0;22.2;22.2
15/02/2015-20:55;0.0;0.0;4.8;225.0;8.0;None;22.2;20.5;90.0;1013.34;0.0;0.0;22.2;22.2
15/02/2015-21:00;0.0;0.0;6.4;225.0;8.0;None;22.2;20.3;89.0;1013.34;0.0;0.0;22.2;22.2
15/02/2015-21:05;0.0;0.0;6.4;225.0;9.7;None;22.1;20.2;89.0;1013.44;0.0;0.0;22.1;22.1
15/02/2015-21:10;0.0;0.0;4.8;225.0;9.7;None;22.1;20.2;89.0;1013.55;0.0;0.0;22.1;22.1
15/02/2015-21:15;0.0;0.0;4.8;225.0;8.0;None;22.1;20.2;89.0;1013.61;0.0;0.0;22.1;22.1
15/02/2015-21:20;0.0;0.0;6.4;225.0;8.0;None;22.0;20.1;89.0;1013.68;0.0;0.0;22.0;22.0
15/02/2015-21:25;0.0;0.0;6.4;225.0;9.7;None;22.0;20.1;89.0;1013.72;0.0;0.0;22.0;22.0
15/02/2015-21:30;0.0;0.0;6.4;225.0;9.7;None;21.9;20.1;89.0;1013.72;0.0;0.0;21.9;21.9
15/02/2015-21:35;0.0;0.0;8.0;225.0;9.7;None;21.9;19.8;88.0;1013.72;0.0;0.0;21.9;21.9
15/02/2015-21:40;0.0;0.0;6.4;225.0;9.7;None;21.8;19.8;88.0;1013.72;0.0;0.0;21.8;21.8
15/02/2015-21:45;0.0;0.0;4.8;225.0;8.0;None;21.8;19.9;89.0;1013.82;0.0;0.0;21.8;21.8
15/02/2015-21:50;0.0;0.0;4.8;225.0;8.0;None;21.7;19.7;88.0;1013.85;0.0;0.0;21.7;21.7
15/02/2015-21:55;0.0;0.0;6.4;225.0;9.7;None;21.7;19.6;88.0;1013.95;0.0;0.0;21.7;21.7
15/02/2015-22:00;0.0;0.0;6.4;225.0;9.7;None;21.6;19.6;88.0;1014.09;0.0;0.0;21.6;21.6
15/02/2015-22:05;0.0;0.0;6.4;225.0;9.7;None;21.6;19.6;88.0;1014.12;0.0;0.0;21.6;21.6
15/02/2015-22:10;0.0;0.0;8.0;225.0;9.7;None;21.6;19.5;88.0;1014.12;0.0;0.0;21.6;21.6
15/02/2015-22:15;0.0;0.0;6.4;225.0;9.7;None;21.5;19.3;87.0;1014.19;0.0;0.0;21.5;21.5
15/02/2015-22:20;0.0;0.0;6.4;225.0;9.7;None;21.5;19.3;87.0;1014.22;0.0;0.0;21.5;21.5
15/02/2015-22:25;0.0;0.0;4.8;225.0;8.0;None;21.4;19.2;87.0;1014.29;0.0;0.0;21.4;21.4
15/02/2015-22:30;0.0;0.0;6.4;225.0;8.0;None;21.4;19.4;88.0;1014.26;0.0;0.0;21.4;21.4
